trade_date,ticker,open_price,close_price,volume,sector,validated,currency,exchange,notes
2025-09-01,AAPL,192.47,191.90,21646536,Technology,NA,NA,NASDAQ,gap up
2025-09-01,MSFT,456.51,459.76,NA,Technology,NA,NA,NA,NA
2025-09-01,NA,151.27,150.45,20405836,Consumer Discretionary,NA,USD,NASDAQ,NA
2025-09-01,NA,139.61,141.17,12795579,NA,YES,NA,NYSE,gap down
2025-09-01,NA,1190.21,1198.56,16389274,Semiconductors,NA,USD,NYSE,NA
2025-09-01,TSLA,245.81,244.27,13350388,Automotive,NA,USD,NASDAQ,NA
2025-09-01,META,493.91,491.42,12963843,Communication Services,NO,USD,NASDAQ,gap down
2025-09-01,NFLX,603.91,599.53,NA,Communication Services,NA,USD,NYSE,EoD
2025-09-02,AAPL,NA,188.92,10513474,Technology,NA,NA,NYSE,pre-earnings
2025-09-02,MSFT,450.93,NA,17277392,Technology,NA,USD,NYSE,EoD
2025-09-02,AMZN,NA,NA,24690780,Consumer Discretionary,YES,NA,NYSE,NA
2025-09-02,NA,NA,142.16,10718842,Communication Services,YES,NA,NYSE,NA
2025-09-02,NVDA,1180.14,1176.78,14094696,Semiconductors,NO,NA,NA,rev miss
2025-09-02,TSLA,NA,242.69,NA,Automotive,NO,USD,NA,NA
2025-09-02,META,493.87,498.86,11887391,Communication Services,YES,NA,NASDAQ,NA
2025-09-02,NFLX,NA,592.66,21608458,Communication Services,NA,NA,NA,EoD
2025-09-03,AAPL,NA,191.24,14508076,Technology,NA,NA,NASDAQ,gap down
2025-09-03,MSFT,461.15,461.28,19595278,Technology,NA,NA,NA,pre-earnings
2025-09-03,AMZN,152.58,152.26,15180231,Consumer Discretionary,YES,NA,NYSE,gap up
2025-09-03,GOOGL,NA,142.15,26850869,Communication Services,NO,USD,NASDAQ,NA
2025-09-03,NVDA,NA,1185.85,20497116,Semiconductors,NA,USD,NASDAQ,EoD
2025-09-03,TSLA,246.40,245.27,NA,Automotive,NA,NA,NA,gap up
2025-09-03,META,498.06,503.78,14129142,Communication Services,NA,NA,NYSE,NA
2025-09-03,NFLX,595.84,NA,25825512,Communication Services,NO,NA,NYSE,NA
2025-09-04,AAPL,191.03,189.90,13637583,NA,NA,NA,NASDAQ,pre-earnings
2025-09-04,MSFT,459.39,459.05,NA,Technology,NO,USD,NA,gap up
2025-09-04,NA,153.32,NA,NA,NA,NO,NA,NASDAQ,rev miss
2025-09-04,GOOGL,NA,139.76,21481080,Communication Services,NO,USD,NA,NA
2025-09-04,NVDA,1170.02,1168.81,13879183,Semiconductors,YES,NA,NYSE,gap up
2025-09-04,NA,242.88,NA,18100553,Automotive,YES,NA,NYSE,gap down
2025-09-04,META,497.77,501.24,NA,Communication Services,YES,USD,NA,NA
2025-09-04,NFLX,598.32,598.00,12610631,Communication Services,YES,USD,NA,gap up
2025-09-05,NA,191.78,NA,16723175,Technology,NA,NA,NYSE,NA
